原文;日本語訳
WELCOME;WELCOME
Welcome to Rift Wizard.;ようこそRiftWizardへ。
Press H for a full help screen and details on all the game's controls.;Hを押すことでヘルプがいつでも閲覧できます。
Mouseover something for a detailed description of what it does.;大抵のものはマウスカーソルを合わせれば詳細が確認できます。
Press S to purchase a spell.;Sボタンで呪文が習得出来ます。
Welcome back Wizard, to the ruins of the universe.;ウィザードよ、万物の廃墟へよくぞ戻った。
Aeons passed while you slumbered.;そなたが眠っている間に何世紀もの時が流れてしまった。
You have sleptwalk across many worlds.;いくつもの世界を眠り歩いたようだな。
The universe, once ordered and beautiful, lies in chaos and ruin.;かつて秩序と美を誇ったこの世界も、今では混沌とした廃墟となってしまった。
And you as well:;そなたについても同じようなものだ。
You were a great wizard once, but your magic and your memories have faded.;かつては偉大なウィザードだったが、その魔法も記憶も薄れてしまった。
Your purpose you remember.  Revenge.;ただ目的だけは覚えているだろう。復讐だ。
The Dark Wizard Mordred is nearby.;闇のウィザード、モードレッドがすぐ近くにいる。
Perhaps he is what woke you?;そなたが目覚めたのもあの男の存在故かもしれない。
Regain your power, and slay Mordred.;力を取り戻せ、そしてモードレッドを討ち滅ぼすのだ。
VICTORY;*勝利*
Mordred is defeated.;モードレットは倒された。
Order and justice will soon return to the universe.;この世界にもじき、秩序と正義が戻るだろう。
Exhausted, you fade from conciousness back into sleep.;疲れ果てたあなたは、再び眠りの世界へと落ちてゆく。
Perhaps this time, you may dream.;今度こそ、夢を見ることが出来るだろう。
You have stepped halfway through the rift.  ;裂け目の半分を踏み越えた。
You may choose any point in the next world to materialize at (Enter, left click), or you may step out of this rift and return to the previous world (ESC, right click).;次の世界の好きな場所を選んで実体化するか(Enter/左クリック)この裂け目から出て前の世界に戻るか(Esc/右クリック)選んでください。
Beware, for once you enter, there will be no way to return.;一度入ってしまうともう戻ることは出来ないので注意してください。
Spells;呪文
Skills;スキル
Realm %d;REALM %d
Level %d;LEVEL %d
level %d;LEVEL %d
Upgrades:;UPGRADES:
turn cooldown;ターンのクールダウン
range;射程
radius;範囲
Range %d;射程: %d
Charges: %d/%d ;チャージ: %d/%d
Range %d (Ignores LOS);射程: %d （視界無視）
Melee;近接攻撃
Physical damage;物理ダメージ
Physical or Fire damage;物理または炎ダメージ
Spawns a %s every %d to %d turns.;%dから%dターン毎に%sが出現する。
Next spawn: %d turns;次の出現は%dターン後
