原文;日本語訳
Icicle;ICICLE
Deal [%d_physical:physical] damage to the target.;対象に[%d_物理:physical]ダメージを与える。
Then, deal [%d_ice:ice] to the target and a [%d_tile:radius] area around it.;その後、対象とその周囲[%d_タイル:radius]範囲に[%d_氷:ice]ダメージを与える。\n
%d - Freezing;%d - フリージング
Freezing;フリージング
Freeze the main target for %d turns;対象を%dターン凍結する
%d - Icicle Harvest;%d - アイシクル・ハーヴェスト
Icicle Harvest;アイシクル・ハーヴェスト
Whenever a frozen enemy dies to [%a] damage, regain a charge of Icicle.;凍結した敵が[%a]ダメージで死んだ場合、Icicleのチャージを1つ回復する。
Magic Missile;MAGIC MISSILE
Deal [%d_arcane:arcane] damage to the target.;対象に[%d_秘術:arcane]ダメージを与える。\n
%d - Shield Burn;%d - シールドバーン
Shield Burn;シールドバーン
Magic Missile removes up to %d SH from the target before dealing damage.;MAGIC MISSILEはダメージを与える前に対象から最大%d[シールド:shield]を取り除く。
%d - Slaughter Bolt;%d - スローターボルト
Slaughter Bolt;スローターボルト
If Magic Missile targets a [%a] unit, it deals [%a], [%a], and [%a] damage instead of [%a].;MAGIC MISSILEが[%a]ユニットを対象とする場合、代わりに[%a]、[%a]、[%a]ダメージを与える。
%d - Holy Bolt;%d - ホーリーボルト
Holy Bolt;ホーリーボルト
If Magic Missile targets an [%a] unit, it deals [%a] damage in addition to [%a] damage.;MAGIC MISSILEが[%a]ユニットを対象とする場合、[%a]ダメージに加えて[%a]ダメージを与える。
%d - Disruption Bolt;%d - ディスラプションボルト
Disruption Bolt;ディスラプションボルト
If Magic Missile targets an [%a] unit, it deals [%a] and [%a] damage instead of [%a].;MAGIC MISSILEが[%a]ユニットを対象とする場合、代わりに[%a]と[%a]ダメージを与える。
Poison Sting;POISON STING
Deal [%d_physical:physical] damage to target unit.;対象のユニットに[%d_物理:physical]ダメージを与える。
That unit is [%a] for [%d_turns:duration].;そのユニットは[%d_ターン:duration]間[%a]となる。
[%a] units take %d [%a] damage each turn.;[%a]ユニットは毎ターン%d [%a]ダメージを受ける。\n
%d - Acidity;%d - アシディティ
Acidity;アシディティ
Damaged targets lose all poison resist;ダメージを受けた対象はすべての毒抵抗を失う。
Blazerip;BLAZERIP
Deals [%d_arcane:arcane] and [%d_fire:fire] damage in a [%d_tile:radius] line perpendicular to the caster.;[%d_秘術:arcane]と[%d_炎:fire]ダメージを詠唱者に垂直な[%d_タイル:radius]に与える。
Melts walls in the affected area.;影響範囲内の壁を溶かす。\n
Boiling Blood;BOILING BLOOD
All allied units gain stacking [%d_damage:damage] bonus to their fire and physical abilities.;すべての味方ユニットが火と物理の能力に対して積み重ね可能な[%d_damage:damage]ボーナスを得る。\n
%d - Extra Damage;%d - 追加ダメージ
Extra Damage;追加ダメージ
%s gains %d Extra Damage;%sは%d追加ダメージを得る。
%d - Holy Fury;%d - ホーリー・フューリー
Holy Fury;ホーリー・フューリー
Boiling Blood also impacts holy abilities;BOILING BLOODは[破邪:holy]の能力にも影響を及ぼす。
%d - Dark Fury;%d - ダーク・フューリー
Dark Fury;ダーク・フューリー
Boiling Blood also impacts dark abilities;BOILING BLOODは[暗黒:dark]の能力にも影響を及ぼす。
Chain Lightning;CHAIN LIGHTNING
Fire an arcing bolt of electricity dealing [%d_lightning:lightning] damage.;電撃を放ち、[%d_稲妻:lightning]ダメージを与える。
The bolt repeatably arcs to new targets within the cascade range.;ボルトはカスケード範囲内の新しいターゲットに繰り返しアークを形成する。
Each arc deals damage to all units along a beam.;各アークはビームに沿った全ユニットにダメージを与える。
The bolt can arc up to [%d_tiles:radius], and cannot pass through walls.;ボルトは[%d_タイル:radius]までアークを形成でき、壁を通過することはできない。
The bolt terminates when it cannot arc to any new targets.;新しいターゲットにアークを形成できないとき、ボルトは終了する。\n
%d - Cascade Range;%d - カスケード範囲
Cascade Range;カスケード範囲
%d - Cloud Conductance;%d - クラウド・コンダクタンス
Cloud Conductance;クラウド・コンダクタンス
Chain Lightning can arc to blizzards and storm clouds;チェーンライトニングはブリザードと嵐の雲にアークを形成できる。
%d - Lightning Shield;%d - ライトニング・シールド
Lightning Shield;ライトニング・シールド
Chain Lightning can arc to friendly targets.;チェーンライトニングは友好的なターゲットにアークを形成できる。
Friendly units hit by Chain Lightning gain %d SH, up to a max of %d, instead of damaged.;チェーンライトニングに当たった友好的なユニットはダメージを受ける代わりに%dの[シールド:shield]を得る、最大で%dまで。
Eye of Fire;EYE OF FIRE
Every [%d_turns:shot_cooldown], deals [%d_fire:fire] damage to a random enemy unit in line of sight.;[%d_ターン:shot_cooldown]毎に、視界内のランダムな敵ユニットに[%d_炎:fire]ダメージを与える。
%d - Shot Cooldown;%d - 発射間隔
Shot Cooldown;発射間隔
%s gains [-%d_shot_cooldown:shot_cooldown];%sは[-%d_クールダウン:shot_cooldown]を得る。
Eye of Ice;EYE OF ICE
Every [%d_turns:shot_cooldown], deals [%d_ice:ice] damage to a random enemy unit in line of sight.;[%d_ターン:shot_cooldown]毎に、視界内のランダムな敵ユニットに[%d_冷気:ice]ダメージを与える。
Eye of Lightning;EYE OF LIGHTNING
Every [%d_turns:shot_cooldown], deals [%d_lightning:lightning] damage to a random enemy unit in line of sight.;[%d_ターン:shot_cooldown]毎に、視界内のランダムな敵ユニットに[%d_稲妻:lightning]ダメージを与える。
Eye of Rage;EYE OF RAGE
Every [%d_turns:shot_cooldown], inflict [%a] on a random enemy unit in line of sight for [%d_turns:berserk].;[%d_ターン:shot_cooldown]毎に、視界内のランダムな敵ユニットに[%a]を[%d_ターン:berserk]付与する。
%d - Berserk Duration;%d - 狂暴化持続時間
Berserk Duration;狂暴化持続時間
%s gains %d Berserk Duration;%sは%d狂暴化持続時間を得る。
%d - Lycanthropy;%d - 狼人症
Lycanthropy;狼人症
When Eye of Rage targets a [%a] unit with %d or less HP, that unit is instantly killed and raised as friendly Werewolf.  That Werewolf is berserked for %d turns.;狼人症は、激怒の目が%d HP以下の[%a]ユニットをターゲットにしたとき、そのユニットは即座に殺されて友好的なウェアウルフとして蘇生する。そのウェアウルフは%dターン狂暴化する。
Fan of Flames;FAN OF FLAMES
Deal [%d_fire:fire] damage to all units in a cone.;すべてのユニットに対して[%d_炎:fire]ダメージを扇形に与える。
Freeze;FREEZE
Target unit is [%a] for [%d_turns:duration].;ターゲットユニットは[%d_ターン:duration]の間[%a]となる。
[%a] units cannot act. Frozen units unfreeze upon taking [%a] or [%a] damage.;[%a]ユニットは行動できない。[%a]または[%a]ダメージを受けると、凍結したユニットは解凍する。\n
